"","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,0.4,0,2.5,"wave",2780,0,0,0.394244604316547,"True"
"2",1,1,2,0.4,0,2.5,"wave",2746,0,0,0.392571012381646,"True"
"3",1,1,3,0.4,0,2.5,"wave",2680,0,0,0.394029850746269,"True"
"4",1,1,4,0.4,0,2.5,"wave",2619,0,0,0.395570828560519,"True"
"5",1,1,5,0.4,0,2.5,"wave",2578,0,0,0.397207137315749,"True"
"6",1,1,6,0.4,0,2.5,"wave",2527,0,0,0.397309062129007,"True"
"7",1,1,7,0.4,0,2.5,"wave",2458,0,0,0.397477624084622,"True"
"8",1,1,8,0.4,0,2.5,"wave",2445,0,0,0.397137014314928,"True"
"9",1,1,9,0.4,0,2.5,"wave",2400,0,0,0.396666666666667,"True"
"10",1,1,10,0.4,0,2.5,"wave",2351,0,0,0.400255210548703,"True"
"11",1,1,11,0.4,0,2.5,"wave",2326,0,0,0.400687876182287,"True"
"12",1,1,12,0.4,0,2.5,"wave",2299,0,0,0.402783819051762,"True"
"13",1,1,13,0.4,0,2.5,"wave",2274,0,0,0.402374670184697,"True"
"14",1,1,14,0.4,0,2.5,"wave",2247,0,0,0.403649310191366,"True"
"15",1,1,15,0.4,0,2.5,"wave",2196,0,0,0.404826958105647,"True"
"16",1,1,16,0.4,0,2.5,"wave",2177,0,0,0.404685346807533,"True"
"17",1,1,17,0.4,0,2.5,"wave",2162,0,0,0.407030527289547,"True"
"18",1,1,18,0.4,0,2.5,"wave",6320,0,0,0.141139240506329,"True"
"19",1,1,19,0.4,0,2.5,"wave",6197,0,0,0.143295142811038,"True"
"20",1,1,20,0.4,0,2.5,"wave",6101,0,0,0.145386002294706,"True"
"21",1,1,21,0.4,0,2.5,"wave",5978,0,0,0.149046503847441,"True"
"22",1,1,22,0.4,0,2.5,"wave",5841,0,0,0.152028762198254,"True"
"23",1,1,23,0.4,0,2.5,"wave",5704,0,0,0.156030855539972,"True"
"24",1,1,24,0.4,0,2.5,"wave",5594,0,0,0.159635323560958,"True"
"25",1,1,25,0.4,0,2.5,"wave",5460,0,0,0.163369963369963,"True"
"26",1,1,26,0.4,0,2.5,"wave",5316,0,0,0.167607223476298,"True"
"27",1,1,27,0.4,0,2.5,"wave",5226,0,0,0.171259089169537,"True"
"28",1,1,28,0.4,0,2.5,"wave",5129,0,0,0.174887892376682,"True"
"29",1,1,29,0.4,0,2.5,"wave",5037,0,0,0.17728806829462,"True"
"30",1,1,30,0.4,0,2.5,"wave",4939,0,0,0.178983599919012,"True"
"31",1,1,31,0.4,0,2.5,"wave",4854,0,0,0.181911825298723,"True"
"32",1,1,32,0.4,0,2.5,"wave",4764,0,0,0.185978169605374,"True"
"33",1,1,33,0.4,0,2.5,"wave",4675,0,0,0.191016042780749,"True"
"34",1,1,34,0.4,0,2.5,"wave",4590,0,0,0.194335511982571,"True"
"35",1,1,35,0.4,0,2.5,"wave",4502,0,0,0.393824966681475,"True"
"36",1,1,36,0.4,0,2.5,"wave",4367,0,0,0.39500801465537,"True"
"37",1,1,37,0.4,0,2.5,"wave",4291,0,0,0.398508506175717,"True"
"38",1,1,38,0.4,0,2.5,"wave",4247,0,0,0.400282552389922,"True"
"39",1,1,39,0.4,0,2.5,"wave",4195,0,0,0.400476758045292,"True"
"40",1,1,40,0.4,0,2.5,"wave",4134,0,0,0.401790033865506,"True"
"41",1,1,41,0.4,0,2.5,"wave",4236,0,0,0.406987724268178,"True"
"42",1,1,42,0.4,0,2.5,"wave",4256,0,0,0.406954887218045,"True"
"43",1,1,43,0.4,0,2.5,"wave",4215,0,0,0.412099644128114,"True"
"44",1,1,44,0.4,0,2.5,"wave",4237,0,0,0.413736134057116,"True"
"45",1,1,45,0.4,0,2.5,"wave",4204,0,0,0.41650808753568,"True"
"46",1,1,46,0.4,0,2.5,"wave",4097,0,0,0.4149377593361,"True"
"47",1,1,47,0.4,0,2.5,"wave",4063,0,0,0.414472064976618,"True"
"48",1,1,48,0.4,0,2.5,"wave",4033,0,0,0.414083808579221,"True"
"49",1,1,49,0.4,0,2.5,"wave",3995,0,0,0.413266583229036,"True"
"50",1,1,50,0.4,0,2.5,"wave",3938,0,0,0.413153885220924,"True"
"51",1,1,51,0.4,0,2.5,"wave",3910,0,0,0.41381074168798,"True"
"52",1,1,52,0.4,0,2.5,"wave",3862,0,0,0.415069911962714,"True"
"53",1,2,1,0.4,0,2.5,"wave",3841,6,0,0.416558187971882,"False"
"54",1,2,2,0.4,0,2.5,"wave",3798,6,0,0.417324907846235,"False"
"55",1,2,3,0.4,0,2.5,"wave",3765,6,1,0.418061088977424,"False"
"56",1,2,4,0.4,0,2.5,"wave",3706,6,2,0.418780356179169,"False"
"57",1,2,5,0.4,0,2.5,"wave",3669,6,2,0.419187789588444,"False"
"58",1,2,6,0.4,0,2.5,"wave",3616,7,2,0.418694690265487,"False"
"59",1,2,7,0.4,0,2.5,"wave",3565,6,3,0.418793828892006,"False"
"60",1,2,8,0.4,0,2.5,"wave",3531,7,3,0.418578306428774,"False"
"61",1,2,9,0.4,0,2.5,"wave",3489,5,1,0.420464316423044,"False"
"62",1,2,10,0.4,0,2.5,"wave",3459,4,2,0.424689216536571,"False"
"63",1,2,11,0.4,0,2.5,"wave",3413,7,3,0.424846176384413,"False"
"64",1,2,12,0.4,0,2.5,"wave",3376,6,1,0.425355450236967,"False"
"65",1,2,13,0.4,0,2.5,"wave",3332,5,3,0.426170468187275,"False"
"66",1,2,14,0.4,0,2.5,"wave",3298,7,3,0.426925409338993,"False"
"67",1,2,15,0.4,0,2.5,"wave",3262,4,2,0.42949110974862,"False"
"68",1,2,16,0.4,0,2.5,"wave",3232,6,2,0.431311881188119,"False"
"69",1,2,17,0.4,0,2.5,"wave",3202,4,1,0.431605246720799,"False"
"70",1,2,18,0.4,0,2.5,"wave",5703,5,2,0.240575135893389,"False"
"71",1,2,19,0.4,0,2.5,"wave",5594,7,2,0.243475151948516,"False"
"72",1,2,20,0.4,0,2.5,"wave",5505,7,3,0.245594913714805,"False"
"73",1,2,21,0.4,0,2.5,"wave",5393,8,5,0.248470239198962,"False"
"74",1,2,22,0.4,0,2.5,"wave",5228,12,3,0.254208110175975,"False"
"75",1,2,23,0.4,0,2.5,"wave",5126,9,3,0.259071400702302,"False"
"76",1,2,24,0.4,0,2.5,"wave",5027,18,4,0.261388502088721,"False"
"77",1,2,25,0.4,0,2.5,"wave",4925,15,4,0.265177664974619,"False"
"78",1,2,26,0.4,0,2.5,"wave",4820,18,6,0.268257261410788,"False"
"79",1,2,27,0.4,0,2.5,"wave",4727,21,7,0.271631055637825,"False"
"80",1,2,28,0.4,0,2.5,"wave",4655,23,10,0.274758324382385,"False"
"81",1,2,29,0.4,0,2.5,"wave",4595,25,9,0.27791077257889,"False"
"82",1,2,30,0.4,0,2.5,"wave",4533,20,7,0.28259430840503,"False"
"83",1,2,31,0.4,0,2.5,"wave",4431,21,10,0.285939968404423,"False"
"84",1,2,32,0.4,0,2.5,"wave",4348,22,9,0.288638454461822,"False"
"85",1,2,33,0.4,0,2.5,"wave",4295,22,6,0.291501746216531,"False"
"86",1,2,34,0.4,0,2.5,"wave",4245,19,7,0.293050647820966,"False"
"87",1,2,35,0.4,0,2.5,"wave",4150,23,8,0.49421686746988,"False"
"88",1,2,36,0.4,0,2.5,"wave",4090,25,6,0.497799511002445,"False"
"89",1,2,37,0.4,0,2.5,"wave",4025,26,5,0.500869565217391,"False"
"90",1,2,38,0.4,0,2.5,"wave",3994,27,10,0.502754131196795,"False"
"91",1,2,39,0.4,0,2.5,"wave",3955,27,10,0.503666245259166,"False"
"92",1,2,40,0.4,0,2.5,"wave",3904,24,10,0.507428278688525,"False"
"93",1,2,41,0.4,0,2.5,"wave",4097,23,12,0.518428118135221,"False"
"94",1,2,42,0.4,0,2.5,"wave",4046,18,8,0.518783984181908,"False"
"95",1,2,43,0.4,0,2.5,"wave",4027,14,7,0.519493419418922,"False"
