rep,year,week,sero,rate,im_sero,barrier,total_pop,n_infected,n_symptomatic,actual_sero
1.0,1.0,1.0,0.6,0.1,0.4,2.0,5068.0,49.0,6.0,0.6018153117600631
1.0,1.0,2.0,0.6,0.1,0.4,2.0,5018.0,53.0,24.0,0.6024312475089677
1.0,1.0,3.0,0.6,0.1,0.4,2.0,4959.0,62.0,34.0,0.6005242992538818
1.0,1.0,4.0,0.6,0.1,0.4,2.0,4952.0,75.0,37.0,0.5995557350565428
1.0,1.0,5.0,0.6,0.1,0.4,2.0,4884.0,76.0,30.0,0.6011466011466011
1.0,1.0,6.0,0.6,0.1,0.4,2.0,4725.0,83.0,30.0,0.5993650793650793
1.0,1.0,7.0,0.6,0.1,0.4,2.0,4631.0,90.0,35.0,0.6005182465990067
1.0,1.0,8.0,0.6,0.1,0.4,2.0,4423.0,93.0,39.0,0.6032104906172281
1.0,1.0,9.0,0.6,0.1,0.4,2.0,4278.0,98.0,43.0,0.6054230949041608
1.0,1.0,10.0,0.6,0.1,0.4,2.0,4197.0,109.0,47.0,0.6056707171789374
1.0,1.0,11.0,0.6,0.1,0.4,2.0,4065.0,106.0,52.0,0.6076260762607626
1.0,1.0,12.0,0.6,0.1,0.4,2.0,3978.0,110.0,57.0,0.6096028154851685
1.0,1.0,13.0,0.6,0.1,0.4,2.0,3864.0,105.0,58.0,0.6118012422360248
1.0,1.0,14.0,0.6,0.1,0.4,2.0,3772.0,106.0,51.0,0.6137327677624602
1.0,1.0,15.0,0.6,0.1,0.4,2.0,3680.0,98.0,47.0,0.6168478260869565
1.0,1.0,16.0,0.6,0.1,0.4,2.0,3571.0,88.0,45.0,0.6180341640996919
1.0,1.0,17.0,0.6,0.1,0.4,2.0,3513.0,93.0,48.0,0.6194136066040421
1.0,1.0,18.0,0.6,0.1,0.4,2.0,3485.0,87.0,43.0,0.6223816355810617
1.0,1.0,19.0,0.6,0.1,0.4,2.0,3405.0,77.0,40.0,0.6261380323054332
1.0,1.0,20.0,0.6,0.1,0.4,2.0,6398.0,76.0,38.0,0.3293216630196937
1.0,1.0,21.0,0.6,0.1,0.4,2.0,5987.0,105.0,34.0,0.331217638216135
1.0,1.0,22.0,0.6,0.1,0.4,2.0,5659.0,130.0,40.0,0.3338045591093833
1.0,1.0,23.0,0.6,0.1,0.4,2.0,5389.0,156.0,49.0,0.33791055854518465
1.0,1.0,24.0,0.6,0.1,0.4,2.0,5019.0,157.0,66.0,0.342498505678422
1.0,1.0,25.0,0.6,0.1,0.4,2.0,4784.0,159.0,66.0,0.34657190635451507
1.0,1.0,26.0,0.6,0.1,0.4,2.0,4651.0,176.0,75.0,0.34723715330036553
1.0,1.0,27.0,0.6,0.1,0.4,2.0,4502.0,184.0,76.0,0.35273211905819635
1.0,1.0,28.0,0.6,0.1,0.4,2.0,4296.0,214.0,79.0,0.35544692737430167
1.0,1.0,29.0,0.6,0.1,0.4,2.0,4125.0,227.0,93.0,0.36315151515151517
1.0,1.0,30.0,0.6,0.1,0.4,2.0,3878.0,226.0,95.0,0.36384734399174834
1.0,1.0,31.0,0.6,0.1,0.4,2.0,3781.0,242.0,104.0,0.3723882570748479
1.0,1.0,32.0,0.6,0.1,0.4,2.0,3635.0,255.0,109.0,0.3741403026134801
1.0,1.0,33.0,0.6,0.1,0.4,2.0,3528.0,275.0,118.0,0.3818027210884354
1.0,1.0,34.0,0.6,0.1,0.4,2.0,3343.0,276.0,137.0,0.3873766078372719
1.0,1.0,35.0,0.6,0.1,0.4,2.0,3254.0,267.0,134.0,0.39551321450522436
1.0,1.0,36.0,0.6,0.1,0.4,2.0,3085.0,273.0,114.0,0.4006482982171799
1.0,1.0,37.0,0.6,0.1,0.4,2.0,2921.0,258.0,108.0,0.41116056145155766
1.0,1.0,38.0,0.6,0.1,0.4,2.0,2843.0,249.0,112.0,0.41470277875483647
1.0,1.0,39.0,0.6,0.1,0.4,2.0,2743.0,246.0,123.0,0.4243528982865476
1.0,1.0,40.0,0.6,0.1,0.4,2.0,2642.0,241.0,116.0,0.4307342922028766
1.0,1.0,41.0,0.6,0.1,0.4,2.0,2565.0,228.0,109.0,0.4389863547758285
1.0,1.0,42.0,0.6,0.1,0.4,2.0,2442.0,226.0,102.0,0.4488124488124488
1.0,1.0,43.0,0.6,0.1,0.4,2.0,2322.0,196.0,91.0,0.45219638242894056
1.0,1.0,44.0,0.6,0.1,0.4,2.0,2251.0,198.0,96.0,0.4606841403820524
1.0,1.0,45.0,0.6,0.1,0.4,2.0,2174.0,191.0,100.0,0.687672493100276
1.0,1.0,46.0,0.6,0.1,0.4,2.0,2056.0,154.0,99.0,0.6964980544747081
1.0,1.0,47.0,0.6,0.1,0.4,2.0,1996.0,130.0,91.0,0.7004008016032064
1.0,1.0,48.0,0.6,0.1,0.4,2.0,1909.0,109.0,79.0,0.7097957045573599
1.0,1.0,49.0,0.6,0.1,0.4,2.0,1825.0,75.0,45.0,0.7210958904109589
1.0,1.0,50.0,0.6,0.1,0.4,2.0,1762.0,55.0,27.0,0.7287173666288309
1.0,1.0,51.0,0.6,0.1,0.4,2.0,1736.0,40.0,21.0,0.7258064516129032
1.0,1.0,52.0,0.6,0.1,0.4,2.0,1675.0,40.0,24.0,0.7325373134328358
1.0,2.0,1.0,0.6,0.1,0.4,2.0,1675.0,36.0,24.0,0.7331343283582089
1.0,2.0,2.0,0.6,0.1,0.4,2.0,1642.0,30.0,16.0,0.7405602923264312
1.0,2.0,3.0,0.6,0.1,0.4,2.0,1639.0,23.0,17.0,0.7400854179377669
1.0,2.0,4.0,0.6,0.1,0.4,2.0,1591.0,17.0,12.0,0.7460716530483973
1.0,2.0,5.0,0.6,0.1,0.4,2.0,1595.0,15.0,11.0,0.7435736677115987
1.0,2.0,6.0,0.6,0.1,0.4,2.0,1561.0,9.0,7.0,0.7508007687379885
1.0,2.0,7.0,0.6,0.1,0.4,2.0,1558.0,7.0,5.0,0.7503209242618742
1.0,2.0,8.0,0.6,0.1,0.4,2.0,1531.0,7.0,6.0,0.7537557152188112
1.0,2.0,9.0,0.6,0.1,0.4,2.0,1514.0,3.0,2.0,0.7529722589167768
1.0,2.0,10.0,0.6,0.1,0.4,2.0,1497.0,3.0,3.0,0.7555110220440882
1.0,2.0,11.0,0.6,0.1,0.4,2.0,1489.0,1.0,1.0,0.7541974479516454
1.0,2.0,12.0,0.6,0.1,0.4,2.0,1475.0,2.0,1.0,0.7545762711864407
1.0,2.0,13.0,0.6,0.1,0.4,2.0,1461.0,1.0,0.0,0.7542778918548939
1.0,2.0,14.0,0.6,0.1,0.4,2.0,1450.0,1.0,0.0,0.7531034482758621
1.0,2.0,15.0,0.6,0.1,0.4,2.0,1446.0,1.0,0.0,0.7524204702627939
1.0,2.0,16.0,0.6,0.1,0.4,2.0,1433.0,1.0,0.0,0.7508722958827634
1.0,2.0,17.0,0.6,0.1,0.4,2.0,1409.0,1.0,1.0,0.7480482611781405
1.0,2.0,18.0,0.6,0.1,0.4,2.0,1383.0,1.0,1.0,0.7483731019522777
1.0,2.0,19.0,0.6,0.1,0.4,2.0,1385.0,1.0,1.0,0.7429602888086643
1.0,2.0,20.0,0.6,0.1,0.4,2.0,2518.0,0.0,0.0,0.40270055599682286
1.0,2.0,21.0,0.6,0.1,0.4,2.0,2457.0,0.0,0.0,0.4053724053724054
1.0,2.0,22.0,0.6,0.1,0.4,2.0,2359.0,0.0,0.0,0.4082238236540907
1.0,2.0,23.0,0.6,0.1,0.4,2.0,2267.0,0.0,0.0,0.41199823555359505
1.0,2.0,24.0,0.6,0.1,0.4,2.0,2202.0,0.0,0.0,0.40962761126248864
1.0,2.0,25.0,0.6,0.1,0.4,2.0,2173.0,0.0,0.0,0.4104924068108606
1.0,2.0,26.0,0.6,0.1,0.4,2.0,2113.0,0.0,0.0,0.4117368670137246
1.0,2.0,27.0,0.6,0.1,0.4,2.0,2042.0,0.0,0.0,0.40842311459353575
1.0,2.0,28.0,0.6,0.1,0.4,2.0,1987.0,0.0,0.0,0.4126824358329139
1.0,2.0,29.0,0.6,0.1,0.4,2.0,1939.0,0.0,0.0,0.4105208870551831
1.0,2.0,30.0,0.6,0.1,0.4,2.0,1866.0,0.0,0.0,0.41264737406216506
1.0,2.0,31.0,0.6,0.1,0.4,2.0,1813.0,0.0,0.0,0.4109211252068395
1.0,2.0,32.0,0.6,0.1,0.4,2.0,1751.0,0.0,0.0,0.4077669902912621
1.0,2.0,33.0,0.6,0.1,0.4,2.0,1728.0,0.0,0.0,0.4085648148148148
1.0,2.0,34.0,0.6,0.1,0.4,2.0,1683.0,0.0,0.0,0.4087938205585264
1.0,2.0,35.0,0.6,0.1,0.4,2.0,1674.0,0.0,0.0,0.4044205495818399
1.0,2.0,36.0,0.6,0.1,0.4,2.0,1628.0,0.0,0.0,0.4090909090909091
1.0,2.0,37.0,0.6,0.1,0.4,2.0,1590.0,0.0,0.0,0.40817610062893084
1.0,2.0,38.0,0.6,0.1,0.4,2.0,1562.0,0.0,0.0,0.41357234314980795
1.0,2.0,39.0,0.6,0.1,0.4,2.0,1565.0,0.0,0.0,0.4083067092651757
1.0,2.0,40.0,0.6,0.1,0.4,2.0,1532.0,0.0,0.0,0.412532637075718
1.0,2.0,41.0,0.6,0.1,0.4,2.0,1529.0,0.0,0.0,0.4107259646827992
1.0,2.0,42.0,0.6,0.1,0.4,2.0,1462.0,0.0,0.0,0.4172366621067031
1.0,2.0,43.0,0.6,0.1,0.4,2.0,1444.0,0.0,0.0,0.41897506925207756
1.0,2.0,44.0,0.6,0.1,0.4,2.0,1402.0,0.0,0.0,0.4243937232524964
1.0,2.0,45.0,0.6,0.1,0.4,2.0,1402.0,0.0,0.0,0.6405135520684736
1.0,2.0,46.0,0.6,0.1,0.4,2.0,1361.0,0.0,0.0,0.6407053637031594
1.0,2.0,47.0,0.6,0.1,0.4,2.0,1327.0,0.0,0.0,0.6420497362471741
1.0,2.0,48.0,0.6,0.1,0.4,2.0,1267.0,0.0,0.0,0.6432517758484609
1.0,2.0,49.0,0.6,0.1,0.4,2.0,1243.0,0.0,0.0,0.6452131938857603
1.0,2.0,50.0,0.6,0.1,0.4,2.0,1233.0,0.0,0.0,0.6423357664233577
1.0,2.0,51.0,0.6,0.1,0.4,2.0,1231.0,0.0,0.0,0.6409423233143785
1.0,2.0,52.0,0.6,0.1,0.4,2.0,1202.0,0.0,0.0,0.6389351081530782
1.0,3.0,1.0,0.6,0.1,0.4,2.0,1209.0,0.0,0.0,0.6401985111662531
1.0,3.0,2.0,0.6,0.1,0.4,2.0,1194.0,0.0,0.0,0.6373534338358459
1.0,3.0,3.0,0.6,0.1,0.4,2.0,1181.0,0.0,0.0,0.6375952582557155
1.0,3.0,4.0,0.6,0.1,0.4,2.0,1163.0,0.0,0.0,0.6337059329320722
1.0,3.0,5.0,0.6,0.1,0.4,2.0,1171.0,0.0,0.0,0.6353543979504697
1.0,3.0,6.0,0.6,0.1,0.4,2.0,1149.0,0.0,0.0,0.6318537859007833
1.0,3.0,7.0,0.6,0.1,0.4,2.0,1148.0,0.0,0.0,0.632404181184669
1.0,3.0,8.0,0.6,0.1,0.4,2.0,1138.0,0.0,0.0,0.6291739894551845
1.0,3.0,9.0,0.6,0.1,0.4,2.0,1132.0,0.0,0.0,0.6307420494699647
1.0,3.0,10.0,0.6,0.1,0.4,2.0,1103.0,0.0,0.0,0.6310063463281959
1.0,3.0,11.0,0.6,0.1,0.4,2.0,1089.0,0.0,0.0,0.63544536271809
1.0,3.0,12.0,0.6,0.1,0.4,2.0,1081.0,0.0,0.0,0.633672525439408
1.0,3.0,13.0,0.6,0.1,0.4,2.0,1069.0,0.0,0.0,0.6333021515434986
1.0,3.0,14.0,0.6,0.1,0.4,2.0,1063.0,0.0,0.0,0.6284101599247413
1.0,3.0,15.0,0.6,0.1,0.4,2.0,1054.0,0.0,0.0,0.6318785578747628
1.0,3.0,16.0,0.6,0.1,0.4,2.0,1038.0,0.0,0.0,0.628131021194605
1.0,3.0,17.0,0.6,0.1,0.4,2.0,1038.0,0.0,0.0,0.626204238921002
1.0,3.0,18.0,0.6,0.1,0.4,2.0,1018.0,0.0,0.0,0.6257367387033399
1.0,3.0,19.0,0.6,0.1,0.4,2.0,1002.0,0.0,0.0,0.625748502994012
1.0,3.0,20.0,0.6,0.1,0.4,2.0,1835.0,0.0,0.0,0.33896457765667576
1.0,3.0,21.0,0.6,0.1,0.4,2.0,1774.0,0.0,0.0,0.34047350620067646
1.0,3.0,22.0,0.6,0.1,0.4,2.0,1688.0,0.0,0.0,0.33767772511848343
1.0,3.0,23.0,0.6,0.1,0.4,2.0,1640.0,0.0,0.0,0.3359756097560976
1.0,3.0,24.0,0.6,0.1,0.4,2.0,1584.0,0.0,0.0,0.3345959595959596
1.0,3.0,25.0,0.6,0.1,0.4,2.0,1585.0,0.0,0.0,0.3318611987381703
1.0,3.0,26.0,0.6,0.1,0.4,2.0,1566.0,0.0,0.0,0.3314176245210728
1.0,3.0,27.0,0.6,0.1,0.4,2.0,1552.0,0.0,0.0,0.3324742268041237
1.0,3.0,28.0,0.6,0.1,0.4,2.0,1493.0,0.0,0.0,0.33556597454789017
1.0,3.0,29.0,0.6,0.1,0.4,2.0,1416.0,0.0,0.0,0.3432203389830508
1.0,3.0,30.0,0.6,0.1,0.4,2.0,1400.0,0.0,0.0,0.34214285714285714
1.0,3.0,31.0,0.6,0.1,0.4,2.0,1399.0,0.0,0.0,0.3416726233023588
1.0,3.0,32.0,0.6,0.1,0.4,2.0,1331.0,0.0,0.0,0.34335086401202103
1.0,3.0,33.0,0.6,0.1,0.4,2.0,1279.0,0.0,0.0,0.34714620797498047
1.0,3.0,34.0,0.6,0.1,0.4,2.0,1240.0,0.0,0.0,0.3467741935483871
1.0,3.0,35.0,0.6,0.1,0.4,2.0,1209.0,0.0,0.0,0.34739454094292804
1.0,3.0,36.0,0.6,0.1,0.4,2.0,1186.0,0.0,0.0,0.34991568296795955
1.0,3.0,37.0,0.6,0.1,0.4,2.0,1164.0,0.0,0.0,0.35137457044673537
1.0,3.0,38.0,0.6,0.1,0.4,2.0,1155.0,0.0,0.0,0.3515151515151515
1.0,3.0,39.0,0.6,0.1,0.4,2.0,1132.0,0.0,0.0,0.3542402826855124
1.0,3.0,40.0,0.6,0.1,0.4,2.0,1121.0,0.0,0.0,0.35325602140945583
1.0,3.0,41.0,0.6,0.1,0.4,2.0,1080.0,0.0,0.0,0.35648148148148145
1.0,3.0,42.0,0.6,0.1,0.4,2.0,1067.0,0.0,0.0,0.35332708528584816
1.0,3.0,43.0,0.6,0.1,0.4,2.0,1024.0,0.0,0.0,0.357421875
1.0,3.0,44.0,0.6,0.1,0.4,2.0,992.0,0.0,0.0,0.3588709677419355
1.0,3.0,45.0,0.6,0.1,0.4,2.0,992.0,0.0,0.0,0.6149193548387096
1.0,3.0,46.0,0.6,0.1,0.4,2.0,984.0,0.0,0.0,0.6128048780487805
1.0,3.0,47.0,0.6,0.1,0.4,2.0,964.0,0.0,0.0,0.6172199170124482
1.0,3.0,48.0,0.6,0.1,0.4,2.0,917.0,0.0,0.0,0.6205016357688113
1.0,3.0,49.0,0.6,0.1,0.4,2.0,921.0,0.0,0.0,0.6156351791530945
1.0,3.0,50.0,0.6,0.1,0.4,2.0,908.0,0.0,0.0,0.6156387665198237
1.0,3.0,51.0,0.6,0.1,0.4,2.0,899.0,0.0,0.0,0.6129032258064516
1.0,3.0,52.0,0.6,0.1,0.4,2.0,893.0,0.0,0.0,0.6136618141097424
1.0,4.0,1.0,0.6,0.1,0.4,2.0,891.0,0.0,0.0,0.6139169472502806
1.0,4.0,2.0,0.6,0.1,0.4,2.0,883.0,0.0,0.0,0.6183465458663646
1.0,4.0,3.0,0.6,0.1,0.4,2.0,884.0,0.0,0.0,0.6131221719457014
1.0,4.0,4.0,0.6,0.1,0.4,2.0,874.0,0.0,0.0,0.6167048054919908
1.0,4.0,5.0,0.6,0.1,0.4,2.0,876.0,0.0,0.0,0.613013698630137
1.0,4.0,6.0,0.6,0.1,0.4,2.0,860.0,0.0,0.0,0.6139534883720931
1.0,4.0,7.0,0.6,0.1,0.4,2.0,866.0,0.0,0.0,0.6073903002309469
1.0,4.0,8.0,0.6,0.1,0.4,2.0,850.0,0.0,0.0,0.6129411764705882
1.0,4.0,9.0,0.6,0.1,0.4,2.0,861.0,0.0,0.0,0.6085946573751452
1.0,4.0,10.0,0.6,0.1,0.4,2.0,842.0,0.0,0.0,0.6163895486935868
1.0,4.0,11.0,0.6,0.1,0.4,2.0,838.0,0.0,0.0,0.6109785202863962
1.0,4.0,12.0,0.6,0.1,0.4,2.0,812.0,0.0,0.0,0.6157635467980296
1.0,4.0,13.0,0.6,0.1,0.4,2.0,821.0,0.0,0.0,0.6126674786845311
1.0,4.0,14.0,0.6,0.1,0.4,2.0,810.0,0.0,0.0,0.6160493827160494
1.0,4.0,15.0,0.6,0.1,0.4,2.0,814.0,0.0,0.0,0.6117936117936118
1.0,4.0,16.0,0.6,0.1,0.4,2.0,808.0,0.0,0.0,0.6150990099009901
1.0,4.0,17.0,0.6,0.1,0.4,2.0,802.0,0.0,0.0,0.6122194513715711
1.0,4.0,18.0,0.6,0.1,0.4,2.0,773.0,0.0,0.0,0.6170763260025873
1.0,4.0,19.0,0.6,0.1,0.4,2.0,782.0,0.0,0.0,0.6163682864450127
1.0,4.0,20.0,0.6,0.1,0.4,2.0,1403.0,0.0,0.0,0.33499643620812547
1.0,4.0,21.0,0.6,0.1,0.4,2.0,1384.0,0.0,0.0,0.33309248554913296
1.0,4.0,22.0,0.6,0.1,0.4,2.0,1351.0,0.0,0.0,0.3338267949666913
1.0,4.0,23.0,0.6,0.1,0.4,2.0,1351.0,0.0,0.0,0.33530717986676534
1.0,4.0,24.0,0.6,0.1,0.4,2.0,1215.0,0.0,0.0,0.34156378600823045
1.0,4.0,25.0,0.6,0.1,0.4,2.0,1201.0,0.0,0.0,0.3447127393838468
1.0,4.0,26.0,0.6,0.1,0.4,2.0,1178.0,0.0,0.0,0.34465195246179964
1.0,4.0,27.0,0.6,0.1,0.4,2.0,1171.0,0.0,0.0,0.34500426985482496
1.0,4.0,28.0,0.6,0.1,0.4,2.0,1126.0,0.0,0.0,0.3481349911190053
1.0,4.0,29.0,0.6,0.1,0.4,2.0,1120.0,0.0,0.0,0.3482142857142857
1.0,4.0,30.0,0.6,0.1,0.4,2.0,1062.0,0.0,0.0,0.3512241054613936
1.0,4.0,31.0,0.6,0.1,0.4,2.0,1063.0,0.0,0.0,0.3527751646284102
1.0,4.0,32.0,0.6,0.1,0.4,2.0,1037.0,0.0,0.0,0.3548698167791707
1.0,4.0,33.0,0.6,0.1,0.4,2.0,1047.0,0.0,0.0,0.35148042024832854
1.0,4.0,34.0,0.6,0.1,0.4,2.0,1038.0,0.0,0.0,0.3516377649325626
1.0,4.0,35.0,0.6,0.1,0.4,2.0,1039.0,0.0,0.0,0.3503368623676612
1.0,4.0,36.0,0.6,0.1,0.4,2.0,1015.0,0.0,0.0,0.35172413793103446
1.0,4.0,37.0,0.6,0.1,0.4,2.0,1010.0,0.0,0.0,0.3485148514851485
1.0,4.0,38.0,0.6,0.1,0.4,2.0,1006.0,0.0,0.0,0.34592445328031807
1.0,4.0,39.0,0.6,0.1,0.4,2.0,946.0,0.0,0.0,0.346723044397463
1.0,4.0,40.0,0.6,0.1,0.4,2.0,951.0,0.0,0.0,0.3491062039957939
1.0,4.0,41.0,0.6,0.1,0.4,2.0,905.0,0.0,0.0,0.35359116022099446
1.0,4.0,42.0,0.6,0.1,0.4,2.0,912.0,0.0,0.0,0.35855263157894735
1.0,4.0,43.0,0.6,0.1,0.4,2.0,899.0,0.0,0.0,0.35372636262513907
1.0,4.0,44.0,0.6,0.1,0.4,2.0,887.0,0.0,0.0,0.36076662908680945
1.0,4.0,45.0,0.6,0.1,0.4,2.0,862.0,0.0,0.0,0.6160092807424594
1.0,4.0,46.0,0.6,0.1,0.4,2.0,848.0,0.0,0.0,0.6226415094339622
1.0,4.0,47.0,0.6,0.1,0.4,2.0,826.0,0.0,0.0,0.6222760290556901
1.0,4.0,48.0,0.6,0.1,0.4,2.0,836.0,0.0,0.0,0.6255980861244019
1.0,4.0,49.0,0.6,0.1,0.4,2.0,793.0,0.0,0.0,0.6242118537200504
1.0,4.0,50.0,0.6,0.1,0.4,2.0,753.0,0.0,0.0,0.6361221779548473
1.0,4.0,51.0,0.6,0.1,0.4,2.0,722.0,0.0,0.0,0.631578947368421
1.0,4.0,52.0,0.6,0.1,0.4,2.0,707.0,0.0,0.0,0.6322489391796322
1.0,5.0,1.0,0.6,0.1,0.4,2.0,698.0,0.0,0.0,0.6275071633237822
1.0,5.0,2.0,0.6,0.1,0.4,2.0,701.0,0.0,0.0,0.6291012838801712
1.0,5.0,3.0,0.6,0.1,0.4,2.0,697.0,0.0,0.0,0.6255380200860832
1.0,5.0,4.0,0.6,0.1,0.4,2.0,699.0,0.0,0.0,0.6294706723891274
1.0,5.0,5.0,0.6,0.1,0.4,2.0,693.0,0.0,0.0,0.6262626262626263
1.0,5.0,6.0,0.6,0.1,0.4,2.0,696.0,0.0,0.0,0.6293103448275862
1.0,5.0,7.0,0.6,0.1,0.4,2.0,687.0,0.0,0.0,0.6259097525473072
1.0,5.0,8.0,0.6,0.1,0.4,2.0,678.0,0.0,0.0,0.6253687315634219
1.0,5.0,9.0,0.6,0.1,0.4,2.0,679.0,0.0,0.0,0.6288659793814433
1.0,5.0,10.0,0.6,0.1,0.4,2.0,675.0,0.0,0.0,0.6266666666666667
1.0,5.0,11.0,0.6,0.1,0.4,2.0,671.0,0.0,0.0,0.6333830104321908
1.0,5.0,12.0,0.6,0.1,0.4,2.0,664.0,0.0,0.0,0.6325301204819277
1.0,5.0,13.0,0.6,0.1,0.4,2.0,668.0,0.0,0.0,0.6317365269461078
1.0,5.0,14.0,0.6,0.1,0.4,2.0,658.0,0.0,0.0,0.6306990881458967
1.0,5.0,15.0,0.6,0.1,0.4,2.0,666.0,0.0,0.0,0.6306306306306306
1.0,5.0,16.0,0.6,0.1,0.4,2.0,658.0,0.0,0.0,0.6306990881458967
1.0,5.0,17.0,0.6,0.1,0.4,2.0,661.0,0.0,0.0,0.6308623298033282
1.0,5.0,18.0,0.6,0.1,0.4,2.0,655.0,0.0,0.0,0.6320610687022901
1.0,5.0,19.0,0.6,0.1,0.4,2.0,662.0,0.0,0.0,0.6299093655589124
1.0,5.0,20.0,0.6,0.1,0.4,2.0,1173.0,0.0,0.0,0.35208866155157714
1.0,5.0,21.0,0.6,0.1,0.4,2.0,1137.0,0.0,0.0,0.3579595426561126
1.0,5.0,22.0,0.6,0.1,0.4,2.0,1100.0,0.0,0.0,0.3609090909090909
1.0,5.0,23.0,0.6,0.1,0.4,2.0,1068.0,0.0,0.0,0.3642322097378277
1.0,5.0,24.0,0.6,0.1,0.4,2.0,1025.0,0.0,0.0,0.3590243902439024
1.0,5.0,25.0,0.6,0.1,0.4,2.0,983.0,0.0,0.0,0.3743641912512716
1.0,5.0,26.0,0.6,0.1,0.4,2.0,956.0,0.0,0.0,0.37447698744769875
1.0,5.0,27.0,0.6,0.1,0.4,2.0,922.0,0.0,0.0,0.38286334056399135
1.0,5.0,28.0,0.6,0.1,0.4,2.0,919.0,0.0,0.0,0.3808487486398259
1.0,5.0,29.0,0.6,0.1,0.4,2.0,910.0,0.0,0.0,0.3813186813186813
1.0,5.0,30.0,0.6,0.1,0.4,2.0,909.0,0.0,0.0,0.3773377337733773
1.0,5.0,31.0,0.6,0.1,0.4,2.0,905.0,0.0,0.0,0.3812154696132597
1.0,5.0,32.0,0.6,0.1,0.4,2.0,901.0,0.0,0.0,0.3762486126526082
1.0,5.0,33.0,0.6,0.1,0.4,2.0,886.0,0.0,0.0,0.3803611738148984
1.0,5.0,34.0,0.6,0.1,0.4,2.0,881.0,0.0,0.0,0.376844494892168
1.0,5.0,35.0,0.6,0.1,0.4,2.0,882.0,0.0,0.0,0.3798185941043084
1.0,5.0,36.0,0.6,0.1,0.4,2.0,856.0,0.0,0.0,0.3796728971962617
1.0,5.0,37.0,0.6,0.1,0.4,2.0,854.0,0.0,0.0,0.3805620608899297
1.0,5.0,38.0,0.6,0.1,0.4,2.0,808.0,0.0,0.0,0.38985148514851486
1.0,5.0,39.0,0.6,0.1,0.4,2.0,782.0,0.0,0.0,0.3900255754475703
1.0,5.0,40.0,0.6,0.1,0.4,2.0,765.0,0.0,0.0,0.39215686274509803
1.0,5.0,41.0,0.6,0.1,0.4,2.0,768.0,0.0,0.0,0.3893229166666667
1.0,5.0,42.0,0.6,0.1,0.4,2.0,744.0,0.0,0.0,0.3951612903225806
1.0,5.0,43.0,0.6,0.1,0.4,2.0,746.0,0.0,0.0,0.39544235924932974
1.0,5.0,44.0,0.6,0.1,0.4,2.0,738.0,0.0,0.0,0.3983739837398374
1.0,5.0,45.0,0.6,0.1,0.4,2.0,729.0,0.0,0.0,0.6433470507544582
1.0,5.0,46.0,0.6,0.1,0.4,2.0,709.0,0.0,0.0,0.6431593794076164
1.0,5.0,47.0,0.6,0.1,0.4,2.0,708.0,0.0,0.0,0.6426553672316384
1.0,5.0,48.0,0.6,0.1,0.4,2.0,690.0,0.0,0.0,0.6463768115942029
1.0,5.0,49.0,0.6,0.1,0.4,2.0,696.0,0.0,0.0,0.6436781609195402
1.0,5.0,50.0,0.6,0.1,0.4,2.0,687.0,0.0,0.0,0.6462882096069869
1.0,5.0,51.0,0.6,0.1,0.4,2.0,670.0,0.0,0.0,0.6507462686567164
1.0,5.0,52.0,0.6,0.1,0.4,2.0,662.0,0.0,0.0,0.6525679758308157
1.0,6.0,1.0,0.6,0.1,0.4,2.0,668.0,0.0,0.0,0.6497005988023952
1.0,6.0,2.0,0.6,0.1,0.4,2.0,660.0,0.0,0.0,0.6515151515151515
1.0,6.0,3.0,0.6,0.1,0.4,2.0,666.0,0.0,0.0,0.6486486486486487
1.0,6.0,4.0,0.6,0.1,0.4,2.0,658.0,0.0,0.0,0.6504559270516718
1.0,6.0,5.0,0.6,0.1,0.4,2.0,663.0,0.0,0.0,0.6470588235294118
1.0,6.0,6.0,0.6,0.1,0.4,2.0,657.0,0.0,0.0,0.649923896499239
1.0,6.0,7.0,0.6,0.1,0.4,2.0,661.0,0.0,0.0,0.6505295007564297
1.0,6.0,8.0,0.6,0.1,0.4,2.0,653.0,0.0,0.0,0.6539050535987749
1.0,6.0,9.0,0.6,0.1,0.4,2.0,645.0,0.0,0.0,0.6511627906976745
1.0,6.0,10.0,0.6,0.1,0.4,2.0,638.0,0.0,0.0,0.6536050156739812
1.0,6.0,11.0,0.6,0.1,0.4,2.0,642.0,0.0,0.0,0.6526479750778816
1.0,6.0,12.0,0.6,0.1,0.4,2.0,634.0,0.0,0.0,0.6561514195583596
1.0,6.0,13.0,0.6,0.1,0.4,2.0,641.0,0.0,0.0,0.6536661466458659
1.0,6.0,14.0,0.6,0.1,0.4,2.0,622.0,0.0,0.0,0.6591639871382636
1.0,6.0,15.0,0.6,0.1,0.4,2.0,630.0,0.0,0.0,0.6571428571428571
1.0,6.0,16.0,0.6,0.1,0.4,2.0,621.0,0.0,0.0,0.6586151368760065
1.0,6.0,17.0,0.6,0.1,0.4,2.0,613.0,0.0,0.0,0.6655791190864601
1.0,6.0,18.0,0.6,0.1,0.4,2.0,605.0,0.0,0.0,0.6694214876033058
1.0,6.0,19.0,0.6,0.1,0.4,2.0,609.0,0.0,0.0,0.6683087027914614
1.0,6.0,20.0,0.6,0.1,0.4,2.0,1052.0,0.0,0.0,0.3821292775665399
1.0,6.0,21.0,0.6,0.1,0.4,2.0,1049.0,0.0,0.0,0.38608198284080075
